date,open,close,high,low,volume
1982.6.14,117.95,117.95,117.95,117.95,997000
1982.6.15,116.58,116.58,116.58,116.58,810000
1982.6.16,116.28,116.28,116.28,116.28,924000
1982.6.17,116.06,116.06,116.06,116.06,521000
1982.6.18,116.1,116.1,116.1,116.1,915000
1982.6.19,115.54,115.54,115.54,115.54,302000
1982.6.21,115.12,115.12,115.12,115.12,340000
1982.6.22,115.25,115.25,115.25,115.25,390000
1982.6.23,114.55,114.55,114.55,114.55,693000
1982.6.24,113.48,113.48,113.48,113.48,631000
1982.6.25,112.92,112.92,112.92,112.92,677000
1982.6.26,115.48,115.48,115.48,115.48,431000
1982.6.28,121.71,121.71,121.71,121.71,246000
1982.6.29,124.04,124.04,124.04,124.04,2240000
1982.6.30,123.64,123.64,123.64,123.64,2980000
1982.7.1,121.25,121.25,121.25,121.25,1640000
1982.7.2,124.3,124.3,124.3,124.3,2090000
1982.7.3,123.43,123.43,123.43,123.43,1660000
1982.7.5,119.72,119.72,119.72,119.72,1980000
1982.7.6,116.51,116.51,116.51,116.51,1390000
1982.7.7,119.17,119.17,119.17,119.17,1460000
1982.7.8,118.75,118.75,118.75,118.75,1250000
1982.7.9,118.7,118.7,118.7,118.7,670000
1982.7.10,119.04,119.04,119.04,119.04,380000
1982.7.12,119.55,119.55,119.55,119.55,724000
1982.7.13,119.83,119.83,119.83,119.83,877000
1982.7.14,120.49,120.49,120.49,120.49,1010000
1982.7.15,120.62,120.62,120.62,120.62,1460000
1982.7.16,121.8,121.8,121.8,121.8,1350000
1982.7.19,121.57,121.57,121.57,121.57,824000
1982.7.20,120.36,120.36,120.36,120.36,542000
1982.7.21,119.75,119.75,119.75,119.75,688000
1982.7.22,120.96,120.96,120.96,120.96,717000
1982.7.23,121.58,121.58,121.58,121.58,1780000
1982.7.24,122.31,122.31,122.31,122.31,756000
1982.7.26,122.31,122.31,122.31,122.31,748000
1982.7.27,122.35,122.35,122.35,122.35,889000
1982.7.28,123.71,123.71,123.71,123.71,1350000
1982.7.29,123.73,123.73,123.73,123.73,1250000
1982.7.30,124.83,124.83,124.83,124.83,1460000
1982.7.31,125.08,125.08,125.08,125.08,765000
1982.8.2,124.97,124.97,124.97,124.97,1140000
1982.8.3,124.4,124.4,124.4,124.4,1030000
1982.8.4,125.82,125.82,125.82,125.82,2250000
1982.8.5,125.56,125.56,125.56,125.56,996000
1982.8.6,125.18,125.18,125.18,125.18,920000
1982.8.7,124.95,124.95,124.95,124.95,578000
1982.8.9,123.96,123.96,123.96,123.96,826000
1982.8.10,124.03,124.03,124.03,124.03,764000
1982.8.11,124.4,124.4,124.4,124.4,823000
1982.8.12,127.31,127.31,127.31,127.31,1550000
1982.8.13,127.31,127.31,127.31,127.31,1850000
1982.8.14,127.11,127.11,127.11,127.11,971000
1982.8.16,125.78,125.78,125.78,125.78,1430000
1982.8.17,124.77,124.77,124.77,124.77,1720000
1982.8.18,123.99,123.99,123.99,123.99,1530000
1982.8.19,123.58,123.58,123.58,123.58,1160000
1982.8.20,122.94,122.94,122.94,122.94,874000
1982.8.21,123.77,123.77,123.77,123.77,547000
1982.8.23,122.28,122.28,122.28,122.28,604000
1982.8.24,121.55,121.55,121.55,121.55,577000
1982.8.25,122.16,122.16,122.16,122.16,561000
1982.8.26,121.95,121.95,121.95,121.95,577000
1982.8.27,122.19,122.19,122.19,122.19,1250000
1982.8.28,122.97,122.97,122.97,122.97,737000
1982.8.30,122.07,122.07,122.07,122.07,364000
1982.8.31,121.94,121.94,121.94,121.94,416000
1982.9.1,121.99,121.99,121.99,121.99,643000
1982.9.2,120.72,120.72,120.72,120.72,818000
1982.9.3,120.25,120.25,120.25,120.25,1140000
1982.9.4,119.51,119.51,119.51,119.51,842000
1982.9.6,117.74,117.74,117.74,117.74,1130000
1982.9.7,119.36,119.36,119.36,119.36,1170000
1982.9.8,119.3,119.3,119.3,119.3,1050000
1982.9.9,118.69,118.69,118.69,118.69,1450000
1982.9.10,118.44,118.44,118.44,118.44,2410000
1982.9.11,117.85,117.85,117.85,117.85,722000
1982.9.13,117.32,117.32,117.32,117.32,928000
1982.9.14,117.46,117.46,117.46,117.46,725000
1982.9.15,118.31,118.31,118.31,118.31,584000
1982.9.16,117.59,117.59,117.59,117.59,652000
1982.9.17,117.43,117.43,117.43,117.43,942000
1982.9.18,116.99,116.99,116.99,116.99,715000
1982.9.20,115.91,115.91,115.91,115.91,858000
1982.9.21,116.19,116.19,116.19,116.19,704000
1982.9.22,115.51,115.51,115.51,115.51,662000
1982.9.23,116.31,116.31,116.31,116.31,713000
1982.9.24,116.07,116.07,116.07,116.07,930000
1982.9.25,116.64,116.64,116.64,116.64,774000
1982.9.27,116.4,116.4,116.4,116.4,1130000
1982.9.28,117.58,117.58,117.58,117.58,1520000
1982.9.29,119.19,119.19,119.19,119.19,1040000
1982.9.30,119.71,119.71,119.71,119.71,934000
1982.10.4,120.05,120.05,120.05,120.05,700000
1982.10.5,119.31,119.31,119.31,119.31,764000
1982.10.6,118.68,118.68,118.68,118.68,649000
1982.10.7,119.22,119.22,119.22,119.22,1960000
1982.10.8,120.28,120.28,120.28,120.28,1880000
1982.10.11,119.85,119.85,119.85,119.85,1090000
1982.10.12,119.37,119.37,119.37,119.37,822000
1982.10.13,118.4,118.4,118.4,118.4,791000
1982.10.14,117.93,117.93,117.93,117.93,854000
1982.10.15,117.49,117.49,117.49,117.49,885000
1982.10.16,117.6,117.6,117.6,117.6,451000
1982.10.18,116.85,116.85,116.85,116.85,579000
1982.10.19,116.59,116.59,116.59,116.59,536000
1982.10.20,116.42,116.42,116.42,116.42,503000
1982.10.21,119.2,119.2,119.2,119.2,1170000
1982.10.22,118.09,118.09,118.09,118.09,960000
1982.10.23,117.5,117.5,117.5,117.5,303000
1982.10.25,119.65,119.65,119.65,119.65,1340000
1982.10.26,119.35,119.35,119.35,119.35,1440000
1982.10.27,120.51,120.51,120.51,120.51,1830000
1982.10.28,120.44,120.44,120.44,120.44,1810000
1982.10.29,118.85,118.85,118.85,118.85,2040000
1982.10.30,121.91,121.91,121.91,121.91,1540000
1982.11.1,123.08,123.08,123.08,123.08,2000000
1982.11.2,122.25,122.25,122.25,122.25,1440000
1982.11.3,123.08,123.08,123.08,123.08,1250000
1982.11.4,122.15,122.15,122.15,122.15,1260000
1982.11.5,121.67,121.67,121.67,121.67,859000
1982.11.6,121.74,121.74,121.74,121.74,427000
1982.11.8,121.33,121.33,121.33,121.33,566000
1982.11.9,122.37,122.37,122.37,122.37,882000
1982.11.10,122.22,122.22,122.22,122.22,1560000
1982.11.11,121.97,121.97,121.97,121.97,1120000
1982.11.12,122.58,122.58,122.58,122.58,1290000
1982.11.13,123.45,123.45,123.45,123.45,1170000
1982.11.15,123.47,123.47,123.47,123.47,793000
1982.11.16,123.45,123.45,123.45,123.45,973000
1982.11.17,123.09,123.09,123.09,123.09,783000
1982.11.18,122.58,122.58,122.58,122.58,925000
1982.11.19,122.51,122.51,122.51,122.51,929000
1982.11.20,122.08,122.08,122.08,122.08,712000
1982.11.22,122.37,122.37,122.37,122.37,663000
1982.11.23,122.15,122.15,122.15,122.15,1140000
1982.11.24,121.72,121.72,121.72,121.72,529000
1982.11.25,122.22,122.22,122.22,122.22,674000
1982.11.26,122.29,122.29,122.29,122.29,956000
1982.11.27,123.23,123.23,123.23,123.23,1040000
1982.11.29,123.88,123.88,123.88,123.88,1160000
1982.11.30,123.66,123.66,123.66,123.66,869000
1982.12.1,124.67,124.67,124.67,124.67,2130000
1982.12.2,125.03,125.03,125.03,125.03,1150000
1982.12.3,125.39,125.39,125.39,125.39,1230000
1982.12.4,125.9,125.9,125.9,125.9,1490000
1982.12.6,125.61,125.61,125.61,125.61,998000
1982.12.7,125.82,125.82,125.82,125.82,1080000
1982.12.8,126.98,126.98,126.98,126.98,1550000
1982.12.9,127.34,127.34,127.34,127.34,1810000
1982.12.10,127.05,127.05,127.05,127.05,1990000
1982.12.11,126.98,126.98,126.98,126.98,870000
1982.12.13,127.77,127.77,127.77,127.77,1770000
1982.12.14,128.13,128.13,128.13,128.13,1650000
1982.12.15,127.55,127.55,127.55,127.55,1850000
1982.12.16,127.26,127.26,127.26,127.26,1210000
1982.12.17,127.55,127.55,127.55,127.55,2550000
1982.12.18,127.48,127.48,127.48,127.48,1010000
1982.12.20,127.12,127.12,127.12,127.12,1340000
1982.12.21,126.98,126.98,126.98,126.98,1410000
1982.12.22,126.4,126.4,126.4,126.4,1700000
1982.12.23,126.18,126.18,126.18,126.18,2260000
1982.12.24,128.99,128.99,128.99,128.99,2780000
1983.1.4,122.52,122.52,122.52,122.52,700000
1983.1.5,122.56,122.56,122.56,122.56,1580000
1983.1.6,122.81,122.81,122.81,122.81,2460000
1983.1.7,121.09,121.09,121.09,121.09,1900000
1983.1.8,120.71,120.71,120.71,120.71,906000
1983.1.10,120.7,120.7,120.7,120.7,1280000
1983.1.11,119.64,119.64,119.64,119.64,1090000
1983.1.12,120.03,120.03,120.03,120.03,1160000
1983.1.13,120.59,120.59,120.59,120.59,1460000
1983.1.14,121.33,121.33,121.33,121.33,2880000
1983.1.15,120.86,120.86,120.86,120.86,1010000
1983.1.17,121.36,121.36,121.36,121.36,1670000
1983.1.18,121.2,121.2,121.2,121.2,1440000
1983.1.19,119.99,119.99,119.99,119.99,1050000
1983.1.20,119.25,119.25,119.25,119.25,1010000
1983.1.21,118.89,118.89,118.89,118.89,857000
1983.1.22,118.91,118.91,118.91,118.91,499000
1983.1.24,118.33,118.33,118.33,118.33,566000
1983.1.25,117.47,117.47,117.47,117.47,587000
1983.1.26,117.82,117.82,117.82,117.82,919000
1983.1.27,117.05,117.05,117.05,117.05,831000
1983.1.28,117.34,117.34,117.34,117.34,715000
1983.1.29,118.42,118.42,118.42,118.42,589000
1983.1.31,118.27,118.27,118.27,118.27,654000
1983.2.1,118.03,118.03,118.03,118.03,701000
1983.2.2,118.97,118.97,118.97,118.97,1150000
1983.2.3,119.66,119.66,119.66,119.66,951000
1983.2.4,119.81,119.81,119.81,119.81,926000
1983.2.5,119.18,119.18,119.18,119.18,482000
1983.2.7,118.82,118.82,118.82,118.82,543000
1983.2.8,119.16,119.16,119.16,119.16,709000
1983.2.9,119.58,119.58,119.58,119.58,1010000
1983.2.10,121.15,121.15,121.15,121.15,1260000
